Agency,Account,State,Recipent,Project,Amount,Requested by,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NJ,Township of Nutley ,Booster Pump Station Enhancement,"$500,000.00 ",Sherrill,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IN,Town of Glenwood ,Water Line Project,"$1,250,000.00 ",Shreve,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IN,Town of Dublin ,Water Treatment Plant Project,"$1,250,000.00 ",Shreve,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of San Leandro ,Water Infrastructure Improvement Project,"$1,092,000.00 ",Simon,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,East Bay Regional Park District ,Martin Luther King Jr. Regional Shoreline Water Qual- ity Improvement Project,"$1,092,000.00 ",Simon,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,ID,Shoshone-Bannock Tribes ,Water Tank Replacement,"$4,000,000.00 ",Simpson,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,ID,City of Rigby ,Drinking Water Improvement Project,"$2,500,000.00 ",Simpson,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,ID,City of Bellevue ,Drinking Water Improvements Project,"$4,000,000.00 ",Simpson,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,ID,City of American Falls ,Water Improvement Project,"$2,500,000.00 ",Simpson,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NE,Village of Ohiowa ,Well Replacement,"$344,000.00 ",Smith (NE),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NE,Village of Ewing ,Water Management Improvements,"$716,000.00 ",Smith (NE),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NJ,Township of Manchester ,Water Supply and Treatment Project,"$1,750,000.00 ",Smith (NJ),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Ocean County Utility Authority ,Pump Station Improvements,"$2,000,000.00 ",Smith (NJ),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Borough  of  Belmar  Environmental  Commission  , Stormwater  Quality  Improvement Project,"$1,000,000.00 ",Smith (NJ),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,WA,City  of  Renton  , Kennydale  Lakeline  Sanitary  Sewer  and  Water  Quality  Preservation Project,"$1,092,000.00 ",Smith (WA),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,WA,King County Water District 54 ,Water Treatment Modernization,"$1,092,000.00 ",Smith (WA),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,City of Bloomington ,East Street Basin Stormwater Improvements,"$1,092,000.00 ",Sorensen,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,City of Elmwood ,Wastewater Lagoon Upgrades,"$1,000,000.00 ",Sorensen,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,City of Macomb ,Storm Sewer Upgrades,"$1,092,000.00 ",Sorensen,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,City of Rock Island ,Mill Street Wastewater Treatment Plant Maintenance Project,"$1,092,000.00 ",Sorensen,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,City of Silvis ,3rd and 7th Street Sewer Replacement Project,"$1,092,000.00 ",Sorensen,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,IL,Village of Maquon ,Wastewater Plant Improvements,"$720,000.00 ",Sorensen,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,City of Freeport ,Water Main Replacement Project,"$1,092,000.00 ",Sorensen,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Village  of  Coal  Valley  , Water  Main  Extension  and  Well  #4  Water  Tower  Construction Project,"$1,092,000.00 ",Sorensen,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NM,Village of Corrales ,Wastewater Main Project,"$1,092,000.00 ",Stansbury,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NM,City of Santa Rosa ,Wastewater Rehabilitation Project,"$1,092,000.00 ",Stansbury,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NM,Town of Bernalillo ,Wastewater Treatment Plant Project,"$1,092,000.00 ",Stansbury,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,AZ,City of Mesa ,Sewer Pipe Inspection and Replacement,"$1,092,000.00 ",Stanton,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,AZ,City of Mesa ,Vault Meter Rehabilitation Project,"$592,000.00 ",Stanton,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,AZ,City of Tempe ,Kyrene Recharge Well Pipelines Project,"$1,092,000.00 ",Stanton,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,AZ,City of Chandler ,New Wells Project,"$1,000,000.00 ",Stanton,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,City of Duluth ,Water Treatment Plant Rehabilitation,"$1,750,000.00 ",Stauber,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,City of Ely ,Water System Improvements,"$2,000,000.00 ",Stauber,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,City of Nashwauk ,Water Infrastructure Improvement Project,"$1,061,000.00 ",Stauber,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,Hibbing  Public  Utilities  Commission  , Water  Main  Replacement  and  Treatment  Plant Upgrade,"$1,000,000.00 ",Stauber,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of Kettle River ,Water and Wastewater Improvements Project,"$1,000,000.00 ",Stauber,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of Cook ,Wastewater Treatment System Improvements,"$330,000.00 ",Stauber,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,Northern Township ,Wastewater Project,"$750,000.00 ",Stauber,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of Coleraine ,Water and Sewer System Upgrades,"$750,000.00 ",Stauber,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of Keewatin ,Water and Sewer Improvement Project,"$750,000.00 ",Stauber,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MN,City of Pine City ,Wastewater Treatment System Upgrade,"$750,000.00 ",Stauber,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MN,City of Mountain Iron ,Water Main Loop Project,"$750,000.00 ",Stauber,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Town of Richmondville ,Wastewater Treatment Rehabilitation,"$1,000,000.00 ",Stefanik,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Town of Lake Luzerne ,Water Storage Tank Rehabilitation,"$1,784,000.00 ",Stefanik,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Village of Evans Mills ,Wastewater Treatment Replacement,"$2,000,000.00 ",Stefanik,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Village of Broadalbin ,Storage Tank Replacement,"$2,000,000.00 ",Stefanik,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Village of Port Leyden ,Water Distribution System Improvements,"$2,000,000.00 ",Stefanik,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Village of Hudson Falls ,Water Main Replacement,"$2,000,000.00 ",Stefanik,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Town of Herkimer ,Wastewater System Upgrades,"$1,594,064.00 ",Stefanik,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Town of Longboat Key ,Raw Wastewater Transmission Pipeline Project,"$1,000,000.00 ",Steube,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Easterseals Southwest Florida ,Stormwater Project,"$750,000.00 ",Steube,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,City of Auburn Hills ,Stormwater Infrastructure,"$723,200.00 ",Stevens,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,City of Farmington ,Community Sanitary System Improvements,"$1,092,000.00 ",Stevens,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,City of Berkley ,Lead Water Service Line Replacements,"$1,092,000.00 ",Stevens,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,City of Ferndale ,Lead Service Line Verifications,"$400,000.00 ",Stevens,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,AL,Town of Rogersville ,Elevated Water Storage Tank,"$1,500,000.00 ",Strong,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IN,Huntington City Water Utility ,Water Main Replacements,"$1,474,360.00 ",Stutzman,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IN,Fort Wayne City Utilities ,Water and Stormwater Improvement Project Phase I,"$2,000,000.00 ",Stutzman,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,VA,Upper Occoquan Service Authority ,Wastewater Facility Improvement Project,"$1,092,000.00 ",Subramanyam,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,VA,Town of Hamilton ,Well 15 Development Project,"$650,000.00 ",Subramanyam,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,VA,Town of Lovettsville ,Water Tower Installation Project,"$1,092,000.00 ",Subramanyam,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Hicksville Water District ,AOP Treatment at Plant No. 11,"$1,092,000.00 ",Suozzi,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Port Washington Water Pollution Control District ,Wastewater Pump Stations Upgrade,"$1,092,000.00 ",Suozzi,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Village of Manorhaven ,Sanitary Sewer Channel Crossing Replacement,"$1,092,000.00 ",Suozzi,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Village of Roslyn ,Sewer Pipe Inspection and Repair Project,"$864,000.00 ",Suozzi,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Village of Sea Cliff ,Sanitary Sewer Expansion Project,"$1,092,000.00 ",Suozzi,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Bethpage Water District ,Treatment Upgrades PFAS and VOC at Plant No. 5,"$1,092,000.00 ",Suozzi,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Port Washington Water District ,Longview Booster Station Improvements,"$704,000.00 ",Suozzi,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Village of Farmingdale ,Water Treatment Project,"$1,092,000.00 ",Suozzi,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Village of Sands Point ,Water Improvement Project,"$1,092,000.00 ",Suozzi,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Village of Williston Park ,PFAS Treatment at Well 4,"$1,092,000.00 ",Suozzi,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Westbury Water District ,Well 16 14–Dioxane Treatment/PFOS/PFOA Treatments,"$1,092,000.00 ",Suozzi,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,Alameda County Public Works ,Livermore Sewer Extension to Protect Ground Water,"$1,000,000.00 ",Swalwell,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,Oro Loma Sanitary District ,Digester Seismic Retrofit Project,"$1,092,000.00 ",Swalwell,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,Summit County ,Peninsula Sanitary Sewer Collection and Treatment Facilities,"$1,092,000.00 ",Sykes,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OH,City of Cuyahoga Falls ,Water Treatment Plant Improvement Project,"$1,092,000.00 ",Sykes,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OH,Village of Silver Lake ,Water Main Improvement Project,"$725,223.00 ",Sykes,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,Elsinore Valley Municipal Water District ,Clean Water/Wastewater Infrastructure Project,"$1,092,000.00 ",Takano,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,Eastern Municipal Water District ,Well 84D Water Quality Improvement Project,"$1,092,000.00 ",Takano,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,Jurupa Community Services District ,Well 29 Development,"$1,092,000.00 ",Takano,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,Western Municipal Water District ,Reservoir Management Systems,"$1,092,000.00 ",Takano,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OH,City of Wellston ,Water Treatment Plant Construction Phase II,"$2,000,000.00 ",Taylor,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OH,Brown County Rural Water Association ,Water Tank Project,"$2,000,000.00 ",Taylor,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OH,City of Logan ,Water Treatment Plant and Water Tower Project,"$1,250,000.00 ",Taylor,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,Village of Winchester ,Wastewater Treatment Plan Improvement Project,"$1,250,000.00 ",Taylor,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,Clinton County Board of Commissioners ,Regional Wastewater Treatment Plant Project,"$949,566.00 ",Taylor,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OH,Village of McArthur ,Waterline Replacement Project Phase I,"$1,000,000.00 ",Taylor,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,Village of Williamsburg ,Sewer Extension Project,"$1,000,000.00 ",Taylor,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Town of Phelps ,Sanitary Sewer Distribution Project,"$1,000,000.00 ",Tenney,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Village of Geneseo ,Water and Sewer System Improvements,"$1,000,000.00 ",Tenney,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Village of Waterloo ,Sewer System Improvements and Wastewater Treatment Plant Up- grades,"$750,000.00 ",Tenney,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Town of Throop ,Water Supply Project,"$750,000.00 ",Tenney,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Village of Mexico ,Water System Improvements,"$750,000.00 ",Tenney,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,Great Lakes Water Authority ,7 Mile Sewer Rehabilitation Project,"$1,092,000.00 ",Thanedar,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,Great Lakes Water Authority ,Fox Creek Enclosure Condition Assessment,"$1,092,000.00 ",Thanedar,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,Great Lakes Water Authority ,Freud and Conners Creek Pump Station Rehabilitation,"$1,092,000.00 ",Thanedar,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,Great Lakes Water Authority ,Oakwood District Intercommunity Relief Sewer Modifica- tion,"$1,092,000.00 ",Thanedar,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,City of Allen Park ,Allen Road Water Main Replacement Project,"$1,092,000.00 ",Thanedar,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,City of Wyandotte ,Lead Service Line Replacement,"$1,092,000.00 ",Thanedar,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,Great Lakes Water Authority ,Downriver Loop Water Main Construction,"$1,092,000.00 ",Thanedar,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,Solano Irrigation District ,Vaca Valley Public Water System Consolidation,"$1,092,000.00 ",Thompson (CA),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,PA,Borough of Ford City,Storm Sewer Rehabilitation,"$1,940,928.00 ",Thompson (PA),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,PA,Freeburg Borough ,Sewer System Rehabilitation Project,"$750,000.00 ",Thompson (PA),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,SC,Commissioners  of  Public  Works  of  the  City  of  Greenville  , Transfer  Pump  Station Project,"$1,750,000.00 ",Timmons,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,SC,MetroConnects ,Sewer Replacement Project,"$1,750,000.00 ",Timmons,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NV,City of Boulder City ,Wastewater Treatment Plant Upgrades,"$980,000.00 ",Titus,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,Garden City ,Water System Rehabilitation Project,"$1,092,000.00 ",Tlaib,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,City of Lathrup Village ,Eldorado Water Main Replacement,"$880,000.00 ",Tlaib,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,HI,Kauai County Department of Water Supply ,Kilauea Water Tank Replacement Project,"$1,092,000.00 ",Tokuda,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,HI,Maui County ,Lahaina Water Infrastructure Resiliency and Hardening,"$1,092,000.00 ",Tokuda,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Village of Altamont ,Wastewater Treatment Plant Disinfection Improvements,"$1,092,000.00 ",Tonko,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NY,Village of Menands ,South End Neighborhood Water System Improvements,"$1,092,000.00 ",Tonko,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NY,Town of Stillwater ,Phase Three Water Main Replacements,"$1,092,000.00 ",Tonko,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of Chino Hills ,Los Serranos Flood Protection Project,"$1,092,000.00 ",Torres (CA),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of Upland ,Campus Avenue Storm Drain Improvement Project,"$1,092,000.00 ",Torres (CA),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,Inland Empire Utilities Agency ,Chino Basin Advanced Water Purification Demonstra- tion Facility,"$1,092,000.00 ",Torres (CA),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,City of Chino ,Benson Emergency Power Generator Project,"$1,092,000.00 ",Torres (CA),
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,Monte Vista Water District ,Pipeline Replacement Project,"$1,092,000.00 ",Torres (CA),
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MA,City of Lowell ,Centralville Sewer Separation Project,"$1,092,000.00 ",Trahan,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MA,Town of Littleton ,Common Sewer System Expansion Project,"$1,092,000.00 ",Trahan,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,Town  of  Groton  , Groton/Dunstable/Pepperell  Regional  Water  System  Expansion  PFAS Mitigation Project,"$1,092,000.00 ",Trahan,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,Town of Westford,PFAS Treatment Infrastructure Project,"$1,092,000.00 ",Trahan,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of Cypress ,Stormwater Pump Station Upgrade,"$1,092,000.00 ",Tran,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OH,City of Dayton ,Water Infrastructure Project Phase I,"$2,000,000.00 ",Turner,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Grand Prairie Water Commission ,Water Infrastructure Project in Northern Illinois,"$1,092,000.00 ",Underwood,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,City of Oglesby ,Water Main Replacement Project,"$1,020,800.00 ",Underwood,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,IL,Village of Oswego ,Drinking Water Supply Project,"$1,092,000.00 ",Underwood,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,City of Avenal ,Water Storage Tank Project,"$4,000,000.00 ",Valadao,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,City of McFarland ,Well Replacement,"$2,000,000.00 ",Valadao,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,County of Kings ,New Well Project,"$2,000,000.00 ",Valadao,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of Corcoran ,Stormwater Enhancements Project,"$2,000,000.00 ",Valadao,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,Shafter-Wasco Irrigation District ,Groundwater Recharge Project,"$2,000,000.00 ",Valadao,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,Arvin-Edison Water Storage District ,Water Supply Expansion Project,"$2,000,000.00 ",Valadao,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NJ,Borough of Swedesboro ,Lead Pipe Abatement,"$1,000,000.00 ",Van Drew,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NJ,Long Beach Township ,Sewer Main Replacement,"$750,000.00 ",Van Drew,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,TX,City of Keller ,Water Line Project,"$1,000,000.00 ",Van Duyne,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,WI,City of Altoona ,Water System Improvements,"$2,250,000.00 ",Van Orden,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,WI,City of Prairie du Chien ,Wastewater Treatment Facility Upgrades,"$1,250,000.00 ",Van Orden,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of San Diego ,Beta Street Channel and Storm Drain Improvement Project,"$1,092,000.00 ",Vargas,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of San Diego ,Jamacha Drainage Channel Upgrade Storm Water Drain Project,"$1,092,000.00 ",Vargas,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,Sweetwater Authority ,Sodium Hypochlorite Chlorination Water Treatment System,"$1,000,000.00 ",Vargas,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NM,Anthony Water and Sanitation District ,Wastewater Treatment Plant Improvement,"$1,092,000.00 ",Vasquez,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NM,City of Belen ,Wastewater Treatment Project,"$1,092,000.00 ",Vasquez,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NM,City of Truth or Consequences ,Clancy Lift Station Replacement,"$1,092,000.00 ",Vasquez,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NM,Ramah Navajo School Board ,Drinking Water Improvement Project,"$1,092,000.00 ",Vasquez,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,VA,Greene County ,Stanardsville Water Main Infrastructure Improvements,"$1,092,000.00 ",Vindman,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,VA,Town of Orange ,Liquid Feed Building Project,"$800,000.00 ",Vindman,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,Whiteford Township,Water Plant Upgrades,"$2,000,000.00 ",Walberg,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MI,GRSD Sewer Authority ,Tertiary Filter Replacement,"$2,000,000.00 ",Walberg,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,City of Jonesville ,Lead Service Line and Water Main Replacement,"$1,000,000.00 ",Walberg,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,Summit Township ,Water Supply Project,"$750,000.00 ",Walberg,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MI,Village of Michiana ,Water Main Replacement,"$1,000,000.00 ",Walberg,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Dania Beach ,Wastewater Infrastructure Improvement,"$1,000,000.00 ",Wasserman Schultz,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Hallandale Beach ,Water Main Rehabilitation Project,"$1,092,000.00 ",Wasserman Schultz,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Hollywood ,Boulevard Heights Sewer Expansion Project,"$1,092,000.00 ",Wasserman Schultz,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City  of  Sunrise  , Southwest  Wastewater  Treatment  Plant  New  Deep  Injection  Well Project,"$1,092,000.00 ",Wasserman Schultz,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Cooper City ,Wastewater Treatment Plant New Headworks Facility Project,"$1,092,000.00 ",Wasserman Schultz,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,City of Compton ,Willowbrook-Culver Sewer Replacement Project,"$1,092,000.00 ",Waters,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NJ,Borough of Rocky Hill ,Municipal Water Infrastructure Improvements,"$1,092,000.00 ",Watson Coleman,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Wildwood ,Wastewater Capacity Upgrades,"$2,000,000.00 ",Webster,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Polk City ,Wastewater Improvement Project,"$1,750,000.00 ",Webster,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,City of Clermont ,Stormwater Infrastructure Improvements,"$750,000.00 ",Webster,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,FL,Crest  Avenue  Wastewater  Treatment  Facility  Capacity  Expansion  and  Process  Optimiza- tion,,"$750,000.00 ",Webster,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,Santa Clarita Valley Water Agency ,PFAS Treatment Project,"$1,092,000.00 ",Whitesides,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,FL,City of North Miami ,Water Plant Modernization Project,"$1,092,000.00 ",Wilson,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,VA,City of Williamsburg ,Water System Improvement Project,"$295,000.00 ",Wittman,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,AR,City of Elkins ,Water System Improvements,"$3,750,000.00 ",Womack,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,AR,Springdale Water Utilities ,Trunk Line Construction,"$3,000,000.00 ",Womack,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MT,Town of Alberton ,Water Storage Project,"$1,000,000.00 ",Zinke,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MT,Town of Philipsburg ,Transmission Line Upgrade,"$1,750,000.00 ",Zinke,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MT,Missoula County ,Water Well Upgrades,"$1,750,000.00 ",Zinke,
