Agency,Account,State,Recipient,Project, Amount ,Requested by,Requested by 2
Department of Education,Higher Education, PA,Lehigh Carbon Community College," support STEM education, including the purchase of equipment and technology","$463,000 ",McCormick,
Department of Education,Higher Education, CA,Los Rios Community College District," expanding an adult learning program, including purchasing technology and providing financial aid","$901,000 ",Padilla, Schiff
Department of Education,Higher Education, LA,Loyola College of Nursing and Health, nursing education,"$2,850,000 ",Cassidy,
Department of Education,Higher Education, MI,Macomb Community College," academic support services, including the purchase of technology","$230,000 ",Peters,
Department of Education,Higher Education, KY,Madisonville Community College, the purchase of aviation equipment,"$2,000,000 ",McConnell,
Department of Education,Higher Education, ME,Maine Maritime Academy, the purchase of equipment and supplies,"$2,800,000 ",Collins,
Department of Education,Higher Education, ME,Maine Maritime Academy, support maritime education,"$1,170,000 ",Collins,
Department of Education,Higher Education, KS,Manhattan Area Technical College, the purchase of equipment,"$244,000 ",Moran,
Department of Education,Higher Education, AZ,Maricopa County Community College District," expanding radiology education, including the purchase of equipment","$2,520,000 ",Gallego, Kelly
Department of Education,Higher Education, WI,Marquette University School of Dentistry (MUSOD)," dental education, including the purchase of equipment","$2,000,000 ",Baldwin,
Department of Education,Higher Education, WV,Marshall University Research Corporation," the purchase of equipment and to develop curriculum, including financial aid","$1,500,000 ",Capito, Justice
Department of Education,Higher Education, PA,Mercyhurst University, the purchase of equipment and technology,"$880,000 ",McCormick,
Department of Education,Higher Education, GA,Middle Georgia State University," aviation education, including the purchase of equipment","$3,480,000 ",Ossoff, Warnock
Department of Education,Higher Education, WI,Milwaukee Area Technical College," supporting parenting students, including providing financial aid and scholarships","$500,000 ",Baldwin,
Department of Education,Higher Education, MN,Minnesota State University Moorhead," improving education and training for counselors, including financial aid and stipends","$901,000 ",Klobuchar, Smith
Department of Education,Higher Education, MS,Mississippi Community College Board," expand nursing degree programs, including for faculty stipends","$5,000,000 ",Hyde-Smith,
Department of Education,Higher Education, MS,Mississippi State University, the purchase of equipment,"$6,459,000 ",Hyde-Smith, Wicker
Department of Education,Higher Education, MS,Mississippi State University, support physician assistant education,"$500,000 ",Hyde-Smith, Wicker
Department of Education,Higher Education, AZ,Mohave Community College," improving automotive education, including the purchase of equipment","$2,500,000 ",Gallego, Kelly
Department of Education,Higher Education, NY,Mohawk Valley Community College," education and training, including the purchase of equipment","$800,000 ",Schumer,
Department of Education,Higher Education, GA,Morris Brown College," workforce development, including the purchase of equipment, providing financial aid, and providing stipends","$1,500,000 ",Ossoff,
Department of Education,Higher Education, NV,Nevada Governor’s Office of Economic Development (GOED)," expanding an internship program, including providing financial aid and stipends","$4,530,000 ",Cortez Masto, Rosen
Department of Education,Higher Education, NJ,New Jersey Institute of Technology," cybersecurity education, including the purchase of equipment","$1,000,000 ",Booker,
Department of Education,Higher Education, NJ,New Jersey Institute of Technology," improving education and research opportunities, including the purchase of equipment","$2,890,000 ",Kim,
Department of Education,Higher Education, NY,Niagara University," improving education, including purchasing equipment and technology upgrades","$525,000 ",Schumer,
Department of Education,Higher Education, WI,Northcentral Technical College," education and workforce development, including providing financial aid, purchasing equipment and supplies, and apprenticeship wages","$3,207,000 ",Baldwin,
Department of Education,Higher Education, SC,Northeastern Technical College," the purchase of equipment, technology, and supplies","$1,500,000 ",Graham,
Department of Education,Higher Education, ME,Northern Maine Community College," support electrical and instrumentation technician education, including the purchase of supplies","$1,304,000 ",Collins, King
Department of Education,Higher Education, ME,Northern Maine Community College," support nursing and allied health education, including the purchase of equipment","$650,000 ",Collins, King
Department of Education,Higher Education, MI,Northern Michigan University," improving cybersecurity education, including purchasing equipment and technology","$606,000 ",Peters,
Department of Education,Higher Education, NM,Northern New Mexico College," improving healthcare career pathways, including curriculum development","$40,000 ",Lujan,
Department of Education,Higher Education, WA,Northwest Indian College," cybersecurity education, including the purchase of equipment","$500,000 ",Murray,
Department of Education,Higher Education, MN,Northwest Technical College," improving manufacturing education and training programs, which may include the purchase of equipment and providing stipends","$1,900,000 ",Klobuchar, Smith
Department of Education,Higher Education, RI,Onward We Learn, college access and support services,"$600,000 ",Reed, Whitehouse
Department of Education,Higher Education, IL,Parkland College," expanding aviation education and training, including the purchase of equipment","$1,050,000 ",Duckworth,
Department of Education,Higher Education, SC,Piedmont Technical College," a mobile welding lab, including the purchase of equipment","$1,000,000 ",Graham,
Department of Education,Higher Education, GA,Piedmont University," forensic science education, including the purchase of equipment","$608,000 ",Ossoff,
Department of Education,Higher Education, NH,Plymouth State University," improving education, including the purchase of equipment","$1,000,000 ",Shaheen,
Department of Education,Higher Education, KS,Pratt Community College, the purchase of equipment,"$1,400,000 ",Moran,
Department of Education,Higher Education, SC,Presbyterian College, the purchase of equipment and technology,"$224,000 ",Graham,
Department of Education,Higher Education, MD,Prince George’s Community College, expanding quantum based education and training including purchasing equipment and providing stipends,"$1,826,000 ",Alsobrooks, Van Hollen
Department of Education,Higher Education, RI,Providence College," improving neuroscience education, including providing financial aid and purchasing equipment","$800,000 ",Reed,
