Agency,Account,State,Recipient,Project,Amount,Requested by,Requested by 2
Department of Transportation,Highway Infrastructure Programs,CA,CA,"Los  Angeles  River  Greenway  Studio  City  Habitat  Restoration, Beautification, and Safety Project","$250,000.00 ",Sherman,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Sepulveda Basin Pedestrian Safety & Access Improvements,"$850,000.00 ",Sherman,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Lincoln Avenue/Marshall Way/Pacific Avenue Corridor Improvement Project,"$850,000.00 ",Simon,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Limonite Avenue Roadway Improvement,"$850,000.00 ",Takano,
Department of Transportation,Highway Infrastructure Programs,CA,CA,South Main Street Road Rehabilitation Project,"$850,000.00 ",Thompson (CA),
Department of Transportation,Highway Infrastructure Programs,CA,CA,Napa Valley Vine Trail—Yountville to St. Helena Gap Closure,"$850,000.00 ",Thompson (CA),
Department of Transportation,Highway Infrastructure Programs,CA,CA,Moorland Pedestrian and School Access Project,"$850,000.00 ",Thompson (CA),
Department of Transportation,Highway Infrastructure Programs,CA,CA,The Amtrak Depot/Olive Drive Connection,"$1,000,000.00 ",Thompson (CA),
Department of Transportation,Highway Infrastructure Programs,CA,CA,Donald Gap,"$1,200,000.00 ",Thompson (CA),
Department of Transportation,Highway Infrastructure Programs,CA,CA,City of Fullerton—Local Street Rehabilitation Project,"$250,000.00 ",Tran,
Department of Transportation,Highway Infrastructure Programs,CA,CA,City of Brea Safe Routes to School,"$850,000.00 ",Tran,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Del  Amo  Boulevard  Bridge  Replacement  and  Roadway  Improvement Project,"$3,150,000.00 ",Tran,
Department of Transportation,Highway Infrastructure Programs,CA,CA,4th Street Development Project-Arvin,"$1,250,000.00 ",Valadao,
Department of Transportation,Highway Infrastructure Programs,CA,CA,SR 43/7th Standard Rd Roundabout—Last-Mile Truck-Rail Access Safety Project,"$2,500,000.00 ",Valadao,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Road 192 Farm to Market Corridor Improvements,"$2,500,000.00 ",Valadao,
Department of Transportation,Highway Infrastructure Programs,CA,CA,The Monitor Street Safe Route to Schools Project,"$3,000,000.00 ",Valadao,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Wasco Downtown Revitalization,"$5,000,000.00 ",Valadao,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Streamview Drive Safety Improvements Project,"$850,000.00 ",Vargas,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Lawndale’s Hawthorne Boulevard Rehabilitation Project,"$850,000.00 ",Waters,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Avenue G Interchange Project,"$850,000.00 ",Whitesides,
Department of Transportation,Highway Infrastructure Programs,CA,CA,The  Santa  Clarita  Valley  Multimodal  Transportation  and  Safety Enhancement Project,"$850,000.00 ",Whitesides,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Traffic Circulation and Pedestrian Safety Improvements Project,"$1,200,000.00 ",Whitesides,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Rancho  Vista  Boulevard  Grade  Separation  Right  of  Way  Acquisition,"$2,000,000.00 ",Whitesides,
Department of Transportation,Highway Infrastructure Programs,CO,CO,Highway 85 Widening Project,"$500,000.00 ",Boebert,
Department of Transportation,Highway Infrastructure Programs,CO,CO,Windsor Colorado Blvd and Crossroads Blvd Intersection Improvements Project,"$500,000.00 ",Boebert,
Department of Transportation,Highway Infrastructure Programs,CO,CO,SH 71 Corridor Improvements Project (Heartland Expressway),"$2,000,000.00 ",Boebert,
Department of Transportation,Highway Infrastructure Programs,CO,CO,Constitution and Peterson Road Traffic Safety Project,"$1,000,000.00 ",Crank,
Department of Transportation,Highway Infrastructure Programs,CO,CO,Montview Boulevard Complete Streets Project,"$250,000.00 ",Crow,
Department of Transportation,Highway Infrastructure Programs,CO,CO,I–70/Aerotropolis Parkway Interchange Project,"$250,000.00 ",Crow,
Department of Transportation,Highway Infrastructure Programs,CO,CO,Box Elder Creek Roadway Improvement Project,"$500,000.00 ",Crow,
Department of Transportation,Highway Infrastructure Programs,CO,CO,Mineral/Santa Fe Operational Improvements Project,"$850,000.00 ",Crow,
Department of Transportation,Highway Infrastructure Programs,CO,CO,Havana Street Corridor Multimodal Improvements Project,"$850,000.00 ",Crow,
Department of Transportation,Highway Infrastructure Programs,CO,CO,35th Avenue Multimodal Safety Enhancements,"$850,000.00 ",Evans (CO),
Department of Transportation,Highway Infrastructure Programs,CO,CO,E. 88th Avenue Corridor Improvement Project—Segment B,"$850,000.00 ",Evans (CO),
Department of Transportation,Highway Infrastructure Programs,CO,CO,I–76 and Bromley Lane Capital improvement Project,"$900,000.00 ",Evans (CO),
Department of Transportation,Highway Infrastructure Programs,CO,CO,Pueblo Rest Area at Exit 108,"$1,000,000.00 ",Hurd,
Department of Transportation,Highway Infrastructure Programs,CO,CO,Mesa County E Road Phase III,"$2,000,000.00 ",Hurd,
Department of Transportation,Highway Infrastructure Programs,CO,CO,"City of Fort Collins Taft Hill Road Improvement, CO","$250,000.00 ",Neguse,
Department of Transportation,Highway Infrastructure Programs,CO,CO,"Town of Silverthorne’s ‘‘Steven’s Way’’ Improvement, CO","$250,000.00 ",Neguse,
Department of Transportation,Highway Infrastructure Programs,CO,CO,"McCaslin Multi-Use Trail Project, CO","$250,000.00 ",Neguse,
Department of Transportation,Highway Infrastructure Programs,CO,CO,Birch Elementary Safety Improvement Project,"$850,000.00 ",Pettersen,
Department of Transportation,Highway Infrastructure Programs,CT,CT,Mohegan-Pequot Bridge Rehabilitation Project,"$1,000,000.00 ",Courtney,
Department of Transportation,Highway Infrastructure Programs,CT,CT,Mansfield Phase II of Bike and Pedestrian Connection,"$1,952,000.00 ",Courtney,
Department of Transportation,Highway Infrastructure Programs,CT,CT,Town of Bethany—Round Hill Road,"$344,000.00 ",DeLauro,
Department of Transportation,Highway Infrastructure Programs,CT,CT,Norwalk River Valley Trail Extension to Calf Pasture Beach,"$850,000.00 ",Himes,
Department of Transportation,Highway Infrastructure Programs,CT,CT,Washington Boulevard Pedestrian and Bike Improvements,"$1,200,000.00 ",Himes,
Department of Transportation,Highway Infrastructure Programs,DC,DC,Solar Charging for Capital eBikes,"$250,000.00 ",Norton,
Department of Transportation,Highway Infrastructure Programs,DC,DC,Suitland Parkway Safety Enhancements,"$850,000.00 ",Norton,
Department of Transportation,Highway Infrastructure Programs,DE,DE,Wilmington Riverwalk Extension Shared-Use Path,"$250,000.00 ",McBride,
Department of Transportation,Highway Infrastructure Programs,DE,DE,Lewes-Georgetown Highway (US 9) Pedestrian Bridge,"$850,000.00 ",McBride,
Department of Transportation,Highway Infrastructure Programs,FL,FL,Construction of Wilton Way Connector Road on Speros FL Development,"$500,000.00 ",Bilirakis,
Department of Transportation,Highway Infrastructure Programs,FL,FL,"Pedestrian Greenway Corridor, New College of Florida","$800,000.00 ",Buchanan,
Department of Transportation,Highway Infrastructure Programs,FL,FL,"State Road 64 Traffic Congestion Alternatives, City of Bradenton","$1,000,000.00 ",Buchanan,
Department of Transportation,Highway Infrastructure Programs,FL,FL,"51st Street West Extension, Manatee County","$1,500,000.00 ",Buchanan,
Department of Transportation,Highway Infrastructure Programs,FL,FL,West River Walk Expansion,"$250,000.00 ",Castor,
Department of Transportation,Highway Infrastructure Programs,FL,FL,San Martin Boulevard Bridge Replacement,"$850,000.00 ",Castor,
Department of Transportation,Highway Infrastructure Programs,FL,FL,Feasibility  Analysis  for  Proposed  Interchange  at  I–75  and  Everglades Boulevard,"$2,000,000.00 ",Diaz-Balart,
Department of Transportation,Highway Infrastructure Programs,FL,FL,"I–75 Project Development and Environmental Study, NW 170th ST and NW 154th ST","$6,000,000.00 ",Diaz-Balart,
Department of Transportation,Highway Infrastructure Programs,FL,FL,Palm Beach Lakes Boulevard Bridge,"$1,000,000.00 ",Frankel,
Department of Transportation,Highway Infrastructure Programs,FL,FL,Willowbrook Road Design and Construction,"$1,000,000.00 ",Franklin,
Department of Transportation,Highway Infrastructure Programs,FL,FL,Berman Road SR 710 Extension,"$1,000,000.00 ",Franklin,
Department of Transportation,Highway Infrastructure Programs,FL,FL,South Dade Corridor Project,"$1,000,000.00 ",Gimenez,
Department of Transportation,Highway Infrastructure Programs,FL,FL,Sugarloaf Boulevard Bridge Replacement Project,"$2,300,000.00 ",Gimenez,
Department of Transportation,Highway Infrastructure Programs,FL,FL,Minton Road Widening Project,"$1,000,000.00 ",Haridopolos,
Department of Transportation,Highway Infrastructure Programs,FL,FL,Oldwoods Avenue at Wyndfields Blvd—Connectivity & Intersection Safety Improvements,"$1,000,000.00 ",Lee (FL),
Department of Transportation,Highway Infrastructure Programs,FL,FL,Collier Parkway & S Countyline Rd—Turn Lanes & Sidewalk,"$1,000,000.00 ",Lee (FL),
Department of Transportation,Highway Infrastructure Programs,FL,FL,Kathleen Road Widening and Extension Project,"$3,000,000.00 ",Lee (FL),
Department of Transportation,Highway Infrastructure Programs,FL,FL,Lighthouse Point NE 28th Street Bridge Replacement Phase 1,"$250,000.00 ",Moskowitz,
Department of Transportation,Highway Infrastructure Programs,FL,FL,Dixie Highway Safety Fence Phase 2,"$850,000.00 ",Moskowitz,
Department of Transportation,Highway Infrastructure Programs,FL,FL,Port Everglades Bypass Road,"$1,000,000.00 ",Moskowitz,
Department of Transportation,Highway Infrastructure Programs,FL,FL,Roadway Resurfacing along Coral Way from SW 77 Avenue to SW 87 Avenue,"$960,000.00 ",Salazar,
Department of Transportation,Highway Infrastructure Programs,FL,FL,Fruitville Road Corridor Capacity Improvement Project,"$1,500,000.00 ",Steube,
Department of Transportation,Highway Infrastructure Programs,FL,FL,River  Road  Regional  Interstate  Connector  Multi-Modal  Capacity Improvement Project,"$1,500,000.00 ",Steube,
Department of Transportation,Highway Infrastructure Programs,FL,FL,SW 61st Avenue Bridge Widening and Roadway Improvements,"$250,000.00 ",Wasserman Schultz,
Department of Transportation,Highway Infrastructure Programs,FL,FL,Town of Montverde CR 455 Complete Street,"$1,500,000.00 ",Webster,
Department of Transportation,Highway Infrastructure Programs,GA,GA,Quacco Road Phase II,"$4,000,000.00 ",Carter (GA),
Department of Transportation,Highway Infrastructure Programs,GA,GA,"I–16 Widening 4 to 6 Lanes, Chatham, Effingham, & Bryan Counties","$5,000,000.00 ",Carter (GA),
Department of Transportation,Highway Infrastructure Programs,GA,GA,Dallas Hwy/SR 120 at Lost Mountain Rd/Mars Hill Rd,"$1,000,000.00 ",Greene (GA),
Department of Transportation,Highway Infrastructure Programs,GA,GA,Chestnut Drive Realignment,"$1,000,000.00 ",Johnson (GA),
Department of Transportation,Highway Infrastructure Programs,GA,GA,Bells Ferry Road over Noonday Creek Bridge Replacement,"$1,000,000.00 ",Loudermilk,
Department of Transportation,Highway Infrastructure Programs,GA,GA,Old 41 Highway Roundabouts,"$1,000,000.00 ",Loudermilk,
Department of Transportation,Highway Infrastructure Programs,GA,GA,George Busbee Parkway,"$1,000,000.00 ",Loudermilk,
Department of Transportation,Highway Infrastructure Programs,GA,GA,Cobb Parkway Pedestrian Bridge North,"$1,000,000.00 ",Loudermilk,
Department of Transportation,Highway Infrastructure Programs,GA,GA,Cass White Phase II Road Widening Project,"$3,000,000.00 ",Loudermilk,
Department of Transportation,Highway Infrastructure Programs,GA,GA,Austell-Powder Springs Road Intersection Improvement Project,"$500,000.00 ",McBath,
Department of Transportation,Highway Infrastructure Programs,GA,GA,Factory Shoals Pedestrian Bridge over Interstate 20,"$1,000,000.00 ",McBath,
Department of Transportation,Highway Infrastructure Programs,GA,GA,Roosevelt Highway Streetscape Phase II,"$2,000,000.00 ",McBath,
Department of Transportation,Highway Infrastructure Programs,GA,GA,South Cobb Drive/SR 280 Improvement Project,"$2,000,000.00 ",McBath,
Department of Transportation,Highway Infrastructure Programs,GA,GA,Ball Ground Truck Bypass,"$1,000,000.00 ",McCormick,
Department of Transportation,Highway Infrastructure Programs,GA,GA,Roswell’s Norcross Street Bridge Replacement Project,"$1,500,000.00 ",McCormick,
Department of Transportation,Highway Infrastructure Programs,GA,GA,Old Alabama Bridge Replacement Project,"$2,500,000.00 ",McCormick,
Department of Transportation,Highway Infrastructure Programs,IA,IA,U.S. Highway 6/Deer Creek Road Intersection Project,"$1,000,000.00 ",Miller-Meeks,
Department of Transportation,Highway Infrastructure Programs,IA,IA,"Keokuk County, Iowa Route G13 Pavement Improvement Project","$1,000,000.00 ",Miller-Meeks,
Department of Transportation,Highway Infrastructure Programs,IA,IA,"Iowa County, Route W21 Pavement Improvement","$2,000,000.00 ",Miller-Meeks,
Department of Transportation,Highway Infrastructure Programs,IA,IA,City of Burlington Cascade Bridge Project,"$6,000,000.00 ",Miller-Meeks,
Department of Transportation,Highway Infrastructure Programs,IA,IA,White Pole Road Revitalization Project,"$500,000.00 ",Nunn,
Department of Transportation,Highway Infrastructure Programs,IA,IA,Highway  141/Towner  Drive  Interchange  Project  within  the  City  of Johnston,"$500,000.00 ",Nunn,
Department of Transportation,Highway Infrastructure Programs,IA,IA,Alice’s Road Reconstruction,"$1,000,000.00 ",Nunn,
Department of Transportation,Highway Infrastructure Programs,IA,IA,P33 Rehabilitation,"$2,000,000.00 ",Nunn,
Department of Transportation,Highway Infrastructure Programs,ID,ID,Soda Springs US–30 Reconstruction,"$9,367,000.00 ",Simpson,
Department of Transportation,Highway Infrastructure Programs,IL,IL,Flora West Side Transportation Improvements,"$1,329,000.00 ",Bost,
Department of Transportation,Highway Infrastructure Programs,IL,IL,Decatur-Macon County Beltway Northeast Connector Segment Design Engineering,"$1,000,000.00 ",Budzinski,
Department of Transportation,Highway Infrastructure Programs,IL,IL,"Weber Road, 135th Street to Airport Road for Will County","$850,000.00 ",Foster,
Department of Transportation,Highway Infrastructure Programs,IL,IL,79th/Stony Island Planning and Environmental Linkages Study,"$850,000.00 ",Jackson (IL),
Department of Transportation,Highway Infrastructure Programs,IL,IL,100th St Bridge over the Calumet River,"$850,000.00 ",Kelly (IL),
